"Year","Month","Nb_of_distinct_IPs","Nb_of_downloads","package"
2025,"Jan",2233,4445,"flowCore"
2025,"Feb",2376,4254,"flowCore"
2025,"Mar",2691,5218,"flowCore"
2025,"Apr",2660,5098,"flowCore"
2025,"May",2643,5838,"flowCore"
2025,"Jun",2523,5070,"flowCore"
2025,"Jul",2887,5789,"flowCore"
2025,"Aug",2592,15192,"flowCore"
2025,"Sep",3039,38024,"flowCore"
2025,"Oct",2958,15956,"flowCore"
2025,"Nov",3645,10389,"flowCore"
2025,"Dec",3982,14260,"flowCore"
2025,"all",26720,129533,"flowCore"
2025,"Jan",2501,4902,"cytolib"
2025,"Feb",2588,4534,"cytolib"
2025,"Mar",2755,5463,"cytolib"
2025,"Apr",2741,4785,"cytolib"
2025,"May",2545,4725,"cytolib"
2025,"Jun",2325,3897,"cytolib"
2025,"Jul",2731,4705,"cytolib"
2025,"Aug",2358,14116,"cytolib"
2025,"Sep",2868,37708,"cytolib"
2025,"Oct",2867,15757,"cytolib"
2025,"Nov",3500,9793,"cytolib"
2025,"Dec",3167,12209,"cytolib"
2025,"all",25638,122594,"cytolib"
2025,"Jan",1006,2206,"flowWorkspace"
2025,"Feb",980,1802,"flowWorkspace"
2025,"Mar",1386,2734,"flowWorkspace"
2025,"Apr",1330,2614,"flowWorkspace"
2025,"May",1381,3229,"flowWorkspace"
2025,"Jun",1200,2420,"flowWorkspace"
2025,"Jul",1469,2894,"flowWorkspace"
2025,"Aug",1242,6409,"flowWorkspace"
2025,"Sep",1515,22768,"flowWorkspace"
2025,"Oct",1506,8677,"flowWorkspace"
2025,"Nov",1936,5480,"flowWorkspace"
2025,"Dec",2406,9893,"flowWorkspace"
2025,"all",13542,71126,"flowWorkspace"
2025,"Jan",1066,2080,"ncdfFlow"
2025,"Feb",1038,1758,"ncdfFlow"
2025,"Mar",1246,2295,"ncdfFlow"
2025,"Apr",1235,2103,"ncdfFlow"
2025,"May",1251,2417,"ncdfFlow"
2025,"Jun",1040,1635,"ncdfFlow"
2025,"Jul",1227,1962,"ncdfFlow"
2025,"Aug",1157,5939,"ncdfFlow"
2025,"Sep",1410,22562,"ncdfFlow"
2025,"Oct",1438,8643,"ncdfFlow"
2025,"Nov",1846,4987,"ncdfFlow"
2025,"Dec",2465,8821,"ncdfFlow"
2025,"all",12958,65202,"ncdfFlow"
2025,"Jan",869,1692,"flowViz"
2025,"Feb",851,1372,"flowViz"
2025,"Mar",1014,1763,"flowViz"
2025,"Apr",1000,1762,"flowViz"
2025,"May",1042,1879,"flowViz"
2025,"Jun",862,1338,"flowViz"
2025,"Jul",1023,1520,"flowViz"
2025,"Aug",1028,7336,"flowViz"
2025,"Sep",1192,23253,"flowViz"
2025,"Oct",1222,8503,"flowViz"
2025,"Nov",1529,4913,"flowViz"
2025,"Dec",2477,10579,"flowViz"
2025,"all",11266,65910,"flowViz"
2025,"Jan",1014,1814,"FlowSOM"
2025,"Feb",943,1553,"FlowSOM"
2025,"Mar",1029,1769,"FlowSOM"
2025,"Apr",1163,2102,"FlowSOM"
2025,"May",1074,2057,"FlowSOM"
2025,"Jun",995,1658,"FlowSOM"
2025,"Jul",1211,2098,"FlowSOM"
2025,"Aug",1056,4924,"FlowSOM"
2025,"Sep",1360,14884,"FlowSOM"
2025,"Oct",1281,5173,"FlowSOM"
2025,"Nov",1523,4312,"FlowSOM"
2025,"Dec",1841,7558,"FlowSOM"
2025,"all",11129,49902,"FlowSOM"
2025,"Jan",724,1521,"ggcyto"
2025,"Feb",712,1225,"ggcyto"
2025,"Mar",930,1603,"ggcyto"
2025,"Apr",1028,1838,"ggcyto"
2025,"May",1103,2232,"ggcyto"
2025,"Jun",849,1537,"ggcyto"
2025,"Jul",1026,1839,"ggcyto"
2025,"Aug",885,5193,"ggcyto"
2025,"Sep",1133,16596,"ggcyto"
2025,"Oct",1249,6653,"ggcyto"
2025,"Nov",1393,4083,"ggcyto"
2025,"Dec",1850,8319,"ggcyto"
2025,"all",10062,52639,"ggcyto"
2025,"Jan",592,1291,"openCyto"
2025,"Feb",582,1029,"openCyto"
2025,"Mar",711,1281,"openCyto"
2025,"Apr",720,1365,"openCyto"
2025,"May",745,1589,"openCyto"
2025,"Jun",675,1266,"openCyto"
2025,"Jul",798,1544,"openCyto"
2025,"Aug",759,4851,"openCyto"
2025,"Sep",989,19126,"openCyto"
2025,"Oct",953,5720,"openCyto"
2025,"Nov",1196,3753,"openCyto"
2025,"Dec",1916,8847,"openCyto"
2025,"all",8214,51662,"openCyto"
2025,"Jan",579,971,"quantiseqr"
2025,"Feb",633,957,"quantiseqr"
2025,"Mar",684,1052,"quantiseqr"
2025,"Apr",757,1131,"quantiseqr"
2025,"May",811,1260,"quantiseqr"
2025,"Jun",773,1188,"quantiseqr"
2025,"Jul",855,1349,"quantiseqr"
2025,"Aug",762,1025,"quantiseqr"
2025,"Sep",1111,1655,"quantiseqr"
2025,"Oct",917,1239,"quantiseqr"
2025,"Nov",1088,1474,"quantiseqr"
2025,"Dec",1057,1394,"quantiseqr"
2025,"all",8760,14695,"quantiseqr"
2025,"Jan",478,1039,"flowStats"
2025,"Feb",450,800,"flowStats"
2025,"Mar",450,884,"flowStats"
2025,"Apr",599,1173,"flowStats"
2025,"May",619,1325,"flowStats"
2025,"Jun",527,1014,"flowStats"
2025,"Jul",686,1230,"flowStats"
2025,"Aug",643,4856,"flowStats"
2025,"Sep",782,19103,"flowStats"
2025,"Oct",764,6182,"flowStats"
2025,"Nov",1134,3335,"flowStats"
2025,"Dec",1835,7470,"flowStats"
2025,"all",6792,48411,"flowStats"
2025,"Jan",458,1124,"CytoML"
2025,"Feb",424,859,"CytoML"
2025,"Mar",547,1169,"CytoML"
2025,"Apr",586,1135,"CytoML"
2025,"May",536,1150,"CytoML"
2025,"Jun",480,940,"CytoML"
2025,"Jul",627,1229,"CytoML"
2025,"Aug",575,4261,"CytoML"
2025,"Sep",720,14501,"CytoML"
